id,event_type,event_cause,corridor,junction,police_station,zone,road_closure_probability,predicted_duration_band,risk_level,risk_score,manpower,barricading,diversion,equipment,agency_alerts,hotspot_level,hotspot_score,actual_duration_band,target_road_closure,latitude,longitude,start_datetime,description,duration_band,is_peak_hour,valid_duration_label,prob_duration_long,prob_duration_medium,prob_duration_short,total_events,closure_rate,control_room,primary_trigger,playbook_json
FKID000052,planned,construction,orr east 2,unknown,hal old airport,unknown,0.016905854,long,high,58.76,4-6 officers + 2 patrol units,Barricade readiness at affected arm and upstream junction.,Activate partial diversion and push advisory to nearby corridors.,"barricades, portable signage, reflective cones, reflective jackets, traffic cones, warning signage","control room, road works contractor, traffic police",high,55.98540145985402,long,0,12.9694079,77.7006346,2024-01-30 20:56:01.732000+00:00,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,long,0,1,0.9969267235354836,0.0004772444312471894,0.002596032033269044,137,0.021897810218978103,Control-room loop with field updates every 10 minutes.,construction,"{""risk_level"": ""high"", ""risk_score"": 58.76, ""manpower"": ""4-6 officers + 2 patrol units"", ""barricading"": ""Barricade readiness at affected arm and upstream junction."", ""diversion"": ""Activate partial diversion and push advisory to nearby corridors."", ""control_room"": ""Control-room loop with field updates every 10 minutes."", ""equipment"": [""barricades"", ""portable signage"", ""reflective cones"", ""reflective jackets"", ""traffic cones"", ""warning signage""], ""agency_alerts"": [""control room"", ""road works contractor"", ""traffic police""], ""primary_trigger"": ""construction""}"
FKID000053,unplanned,vehicle_breakdown,bellary road 1,unknown,high ground,unknown,0.2908454,medium,medium,54.31,2 officers + 1 patrol unit,Local channelization with cones/signage near incident point.,Prepare local diversion if queue spills to adjacent junction.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",high,37.40217391304347,medium,0,12.9849833,77.5883633,2024-01-30 21:47:40.463000+00:00,"LRDE ಜಂಕ್ಷನ್ ಯಿಂದ ಬಸವೇಶ್ವರ ಜಂಕ್ಷನ್ ಕಡೆ ಬರುವ ಮದ್ಯದಲ್ಲಿ ಕಾರು ಪಂಚರ್ ಆಗಿದ್ದು,ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮುಮೆಂಟ್ ಇರುತ್ತದೆ ಸರ್",medium,0,1,0.0034340074275055975,0.640189070148672,0.35637692242382224,92,0.09782608695652174,Notify station control and monitor every 15 minutes.,vehicle_breakdown,"{""risk_level"": ""medium"", ""risk_score"": 54.31, ""manpower"": ""2 officers + 1 patrol unit"", ""barricading"": ""Local channelization with cones/signage near incident point."", ""diversion"": ""Prepare local diversion if queue spills to adjacent junction."", ""control_room"": ""Notify station control and monitor every 15 minutes."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
FKID000055,unplanned,road_conditions,non-corridor,unknown,whitefield,unknown,0.4486788,medium,medium,54.19,2 officers + 1 patrol unit,Local channelization with cones/signage near incident point.,Prepare local diversion if queue spills to adjacent junction.,"reflective jackets, traffic cones",traffic police,high,40.92857142857143,medium,0,12.9842019,77.7336286,2024-01-30 21:54:56.083000+00:00,,medium,0,1,0.30257362151187767,0.46480469589532586,0.2326216825927965,140,0.04285714285714286,Notify station control and monitor every 15 minutes.,default,"{""risk_level"": ""medium"", ""risk_score"": 54.19, ""manpower"": ""2 officers + 1 patrol unit"", ""barricading"": ""Local channelization with cones/signage near incident point."", ""diversion"": ""Prepare local diversion if queue spills to adjacent junction."", ""control_room"": ""Notify station control and monitor every 15 minutes."", ""equipment"": [""reflective jackets"", ""traffic cones""], ""agency_alerts"": [""traffic police""], ""primary_trigger"": ""default""}"
FKID000057,unplanned,vehicle_breakdown,non-corridor,unknown,mahadevapura,unknown,0.050320115,short,low,24.82,1 patrol unit,No barricading by default; keep cones ready if lane obstruction grows.,No diversion. Monitor junction approach roads.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",medium,21.851724137931033,short,0,12.9848257,77.7527586,2024-01-30 22:06:02.276000+00:00,Gear jam not moving traffic slow moving,short,0,1,0.0030511098147067814,0.2375406173327451,0.7594082728525482,58,0.034482758620689655,Log and monitor.,vehicle_breakdown,"{""risk_level"": ""low"", ""risk_score"": 24.82, ""manpower"": ""1 patrol unit"", ""barricading"": ""No barricading by default; keep cones ready if lane obstruction grows."", ""diversion"": ""No diversion. Monitor junction approach roads."", ""control_room"": ""Log and monitor."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
FKID000061,unplanned,vehicle_breakdown,orr east 1,unknown,hal old airport,unknown,0.103058144,short,medium,31.16,2 officers + 1 patrol unit,Local channelization with cones/signage near incident point.,Prepare local diversion if queue spills to adjacent junction.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",high,35.066853932584266,short,0,12.9368467,77.6928653,2024-01-30 23:05:02.339000+00:00,Kadubisanahalli toward devarabisnahalli car starting problem,short,0,1,0.01194010593579025,0.20369218100359315,0.7843677130606168,89,0.033707865168539325,Notify station control and monitor every 15 minutes.,vehicle_breakdown,"{""risk_level"": ""medium"", ""risk_score"": 31.16, ""manpower"": ""2 officers + 1 patrol unit"", ""barricading"": ""Local channelization with cones/signage near incident point."", ""diversion"": ""Prepare local diversion if queue spills to adjacent junction."", ""control_room"": ""Notify station control and monitor every 15 minutes."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
FKID000063,unplanned,vehicle_breakdown,non-corridor,unknown,jnanabharathi,unknown,0.3877893,short,medium,45.28,2 officers + 1 patrol unit,Local channelization with cones/signage near incident point.,Prepare local diversion if queue spills to adjacent junction.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",high,39.43181818181818,medium,0,12.9513113,77.4994888,2024-01-30 23:12:23.123000+00:00,ಬಿಎಂಟಿಸಿ ಬಸ್ ಗೇರ್ ರಾಡ್ ಕಟ್ ಆಗಿ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,medium,0,1,0.003580277156503609,0.37023415648737223,0.6261855663561238,99,0.0707070707070707,Notify station control and monitor every 15 minutes.,vehicle_breakdown,"{""risk_level"": ""medium"", ""risk_score"": 45.28, ""manpower"": ""2 officers + 1 patrol unit"", ""barricading"": ""Local channelization with cones/signage near incident point."", ""diversion"": ""Prepare local diversion if queue spills to adjacent junction."", ""control_room"": ""Notify station control and monitor every 15 minutes."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
FKID000066,unplanned,tree_fall,non-corridor,unknown,j.p. nagar,unknown,0.71433675,long,critical,92.15,8+ officers + inspector oversight + 3 patrol units,Full barricade deployment and protected emergency lane.,Activate full diversion plan and public advisory immediately.,"barricades, portable signage, reflective jackets, traffic cones, tree clearance crew","BBMP tree clearance, control room, traffic police",medium,20.0,long,0,12.9165983,77.583705,2024-03-07 20:58:06.297000+00:00,[LOCATION] sir 9 th main 46 crs trdd BSNL office tree fallen on main road closed,long,0,1,0.48648583410348484,0.29445530029240136,0.2190588656041138,20,0.2,Dedicated control-room monitoring until clearance.,tree_fall,"{""risk_level"": ""critical"", ""risk_score"": 92.15, ""manpower"": ""8+ officers + inspector oversight + 3 patrol units"", ""barricading"": ""Full barricade deployment and protected emergency lane."", ""diversion"": ""Activate full diversion plan and public advisory immediately."", ""control_room"": ""Dedicated control-room monitoring until clearance."", ""equipment"": [""barricades"", ""portable signage"", ""reflective jackets"", ""traffic cones"", ""tree clearance crew""], ""agency_alerts"": [""BBMP tree clearance"", ""control room"", ""traffic police""], ""primary_trigger"": ""tree_fall""}"
FKID000069,unplanned,vehicle_breakdown,west of chord road,unknown,vijayanagara,unknown,0.016029267,short,low,19.97,1 patrol unit,No barricading by default; keep cones ready if lane obstruction grows.,No diversion. Monitor junction approach roads.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",low,10.830769230769231,short,0,12.9740913,77.5452252,2024-01-31 00:33:27.663000+00:00,Vehicle movment very slow,short,0,1,0.0,0.1496343971180541,0.850365602881946,26,0.038461538461538464,Log and monitor.,vehicle_breakdown,"{""risk_level"": ""low"", ""risk_score"": 19.97, ""manpower"": ""1 patrol unit"", ""barricading"": ""No barricading by default; keep cones ready if lane obstruction grows."", ""diversion"": ""No diversion. Monitor junction approach roads."", ""control_room"": ""Log and monitor."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
FKID000070,unplanned,vehicle_breakdown,west of chord road,unknown,vijayanagara,unknown,0.13049729,short,low,25.12,1 patrol unit,No barricading by default; keep cones ready if lane obstruction grows.,No diversion. Monitor junction approach roads.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",low,10.830769230769231,short,0,12.9740971,77.5449011,2024-01-31 00:36:02.277000+00:00,,short,0,1,0.0,0.22307214362223116,0.7769278563777691,26,0.038461538461538464,Log and monitor.,vehicle_breakdown,"{""risk_level"": ""low"", ""risk_score"": 25.12, ""manpower"": ""1 patrol unit"", ""barricading"": ""No barricading by default; keep cones ready if lane obstruction grows."", ""diversion"": ""No diversion. Monitor junction approach roads."", ""control_room"": ""Log and monitor."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
FKID000071,unplanned,vehicle_breakdown,non-corridor,unknown,chamarajpet,unknown,0.08195164,short,low,27.08,1 patrol unit,No barricading by default; keep cones ready if lane obstruction grows.,No diversion. Monitor junction approach roads.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",medium,24.650000000000002,short,0,12.9688926,77.569795,2024-01-31 01:24:44.373000+00:00,"[LOCATION] road jn towards mill road jn this vehicle Back wheel puncher, traffic little bit slow moving sir",short,0,1,0.0020524376750310465,0.24366381467769055,0.7542837476472782,36,0.25,Log and monitor.,vehicle_breakdown,"{""risk_level"": ""low"", ""risk_score"": 27.08, ""manpower"": ""1 patrol unit"", ""barricading"": ""No barricading by default; keep cones ready if lane obstruction grows."", ""diversion"": ""No diversion. Monitor junction approach roads."", ""control_room"": ""Log and monitor."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
FKID000080,unplanned,others,non-corridor,unknown,jnanabharathi,unknown,0.56638896,long,critical,75.32,8+ officers + inspector oversight + 3 patrol units,Full barricade deployment and protected emergency lane.,Activate full diversion plan and public advisory immediately.,"barricades, portable signage, reflective jackets, traffic cones","control room, traffic police",high,39.43181818181818,short,0,12.9449039,77.4949618,2024-03-07 21:25:26.425000+00:00,bmtc bus offroad in front of adishakti temple,short,0,1,0.3465679854460793,0.3374217311333542,0.31601028342056614,99,0.0707070707070707,Dedicated control-room monitoring until clearance.,default,"{""risk_level"": ""critical"", ""risk_score"": 75.32, ""manpower"": ""8+ officers + inspector oversight + 3 patrol units"", ""barricading"": ""Full barricade deployment and protected emergency lane."", ""diversion"": ""Activate full diversion plan and public advisory immediately."", ""control_room"": ""Dedicated control-room monitoring until clearance."", ""equipment"": [""barricades"", ""portable signage"", ""reflective jackets"", ""traffic cones""], ""agency_alerts"": [""control room"", ""traffic police""], ""primary_trigger"": ""default""}"
FKID000081,unplanned,tree_fall,non-corridor,unknown,pulikeshinagar(f.town),unknown,0.7784067,medium,critical,80.24,8+ officers + inspector oversight + 3 patrol units,Full barricade deployment and protected emergency lane.,Activate full diversion plan and public advisory immediately.,"barricades, portable signage, reflective jackets, traffic cones, tree clearance crew","BBMP tree clearance, traffic police",medium,24.034615384615385,medium,0,12.9873133,77.6163481,2024-03-07 21:17:00.312000+00:00,ರಸ್ತೆ ಮಧ್ಯದಲ್ಲೇ ಮರ ಬಿದ್ದಿರುವುದರಿಂದ ಸುಗಮ ಸಂಚಾರಕ್ಕೆ ಸ್ವಲ್ಪ ನಿಧಾನ ಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ,medium,0,1,0.06169440514405708,0.6614093171983183,0.27689627765762465,39,0.23076923076923078,Dedicated control-room monitoring until clearance.,tree_fall,"{""risk_level"": ""critical"", ""risk_score"": 80.24, ""manpower"": ""8+ officers + inspector oversight + 3 patrol units"", ""barricading"": ""Full barricade deployment and protected emergency lane."", ""diversion"": ""Activate full diversion plan and public advisory immediately."", ""control_room"": ""Dedicated control-room monitoring until clearance."", ""equipment"": [""barricades"", ""portable signage"", ""reflective jackets"", ""traffic cones"", ""tree clearance crew""], ""agency_alerts"": [""BBMP tree clearance"", ""traffic police""], ""primary_trigger"": ""tree_fall""}"
FKID000082,planned,construction,orr east 2,unknown,hal old airport,unknown,0.021804225,long,high,58.98,4-6 officers + 2 patrol units,Barricade readiness at affected arm and upstream junction.,Activate partial diversion and push advisory to nearby corridors.,"barricades, portable signage, reflective cones, reflective jackets, traffic cones, warning signage","control room, road works contractor, traffic police",high,55.98540145985402,long,0,12.969418,77.7006526,2024-03-07 21:23:16.629000+00:00,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,long,0,1,0.9699256820056003,0.0026629268658551492,0.02741139112854397,137,0.021897810218978103,Control-room loop with field updates every 10 minutes.,construction,"{""risk_level"": ""high"", ""risk_score"": 58.98, ""manpower"": ""4-6 officers + 2 patrol units"", ""barricading"": ""Barricade readiness at affected arm and upstream junction."", ""diversion"": ""Activate partial diversion and push advisory to nearby corridors."", ""control_room"": ""Control-room loop with field updates every 10 minutes."", ""equipment"": [""barricades"", ""portable signage"", ""reflective cones"", ""reflective jackets"", ""traffic cones"", ""warning signage""], ""agency_alerts"": [""control room"", ""road works contractor"", ""traffic police""], ""primary_trigger"": ""construction""}"
FKID000086,unplanned,vehicle_breakdown,non-corridor,unknown,electronic city,unknown,0.029686363,medium,medium,44.36,2 officers + 1 patrol unit,Local channelization with cones/signage near incident point.,Prepare local diversion if queue spills to adjacent junction.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",medium,26.758695652173913,medium,0,12.8482637,77.6713737,2024-01-31 02:47:16.032000+00:00,Lgv breake down veersandar to [LOCATION] near ec 1,medium,1,1,0.008278769828408097,0.6589880246308142,0.3327332055407776,69,0.057971014492753624,Notify station control and monitor every 15 minutes.,vehicle_breakdown,"{""risk_level"": ""medium"", ""risk_score"": 44.36, ""manpower"": ""2 officers + 1 patrol unit"", ""barricading"": ""Local channelization with cones/signage near incident point."", ""diversion"": ""Prepare local diversion if queue spills to adjacent junction."", ""control_room"": ""Notify station control and monitor every 15 minutes."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
FKID000087,unplanned,vehicle_breakdown,mysore road,unknown,ashok nagar,unknown,0.235232,short,medium,31.79,2 officers + 1 patrol unit,Local channelization with cones/signage near incident point.,Prepare local diversion if queue spills to adjacent junction.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",medium,17.345121951219515,short,0,12.96672,77.6093294,2024-01-31 05:03:24.794000+00:00,ಡಿಸೋಜ ಟುವರ್ಡ್ಸ್ ಮದರ್ ತೆರೇಸಾ,short,0,1,0.0,0.2952816962525465,0.7047183037474537,41,0.04878048780487805,Notify station control and monitor every 15 minutes.,vehicle_breakdown,"{""risk_level"": ""medium"", ""risk_score"": 31.79, ""manpower"": ""2 officers + 1 patrol unit"", ""barricading"": ""Local channelization with cones/signage near incident point."", ""diversion"": ""Prepare local diversion if queue spills to adjacent junction."", ""control_room"": ""Notify station control and monitor every 15 minutes."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
